,amenities
5710,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",bathtub,""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""luggage dropoff allowed"",""long term stays allowed"",""shower gel""}"
5711,"{tv,wifi,""air conditioning"",""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""private living room"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""patio or balcony"",""long term stays allowed"",""shower gel""}"
5712,"{wifi,""air conditioning"",""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""hot water""}"
5713,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",""coffee maker"",dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
5714,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard""}"
5715,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free parking on premises"",""pets allowed"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard""}"
5716,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",""coffee maker"",dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
5717,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",gym,breakfast,""free street parking"",""indoor fireplace"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""dishes and silverware"",stove,""patio or balcony""}"
5718,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",microwave}"
5719,"{tv,wifi,""air conditioning"",kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5720,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""long term stays allowed"",""shower gel"",""baking sheet"",""trash can""}"
5721,"{tv,wifi,""air conditioning"",kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5722,"{tv,""cable tv"",wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,""single level home"",""patio or balcony"",""garden or backyard""}"
5723,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets allowed"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard""}"
5724,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""pets allowed"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
5725,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5726,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5727,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5728,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""trash can""}"
5729,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5730,"{wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""bed linens"",""extra pillows and blankets"",microwave,""garden or backyard"",""long term stays allowed"",""shower gel"",""trash can""}"
5731,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water""}"
5732,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",crib,""body soap"",""bath towel"",""toilet paper"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""hot water kettle"",""gas oven"",""breakfast table"",netflix,""en suite bathroom"",""walk-in shower"",""full kitchen"",""bedroom comforts"",""bathroom essentials""}"
5733,"{tv,wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""no stairs or steps to enter"",""wide entrance for guests"",""flat path to guest entrance""}"
5734,"{tv,wifi,""air conditioning"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""hair dryer"",iron,""laptop-friendly workspace""}"
5735,"{wifi,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5736,"{wifi,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5737,"{wifi,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5738,"{wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""cleaning before checkout"",""host greets you"",""shower gel""}"
5739,"{wifi,pool,kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",essentials,hangers,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""garden or backyard"",""long term stays allowed""}"
5740,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""paid parking off premises"",""pets allowed"",gym,elevator,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",bathtub,""high chair"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""game console"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed"",""paid parking on premises"",""shower gel"",""baking sheet"",""barbecue utensils"",""trash can""}"
5741,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""private entrance"",""outlet covers"",bathtub,""children’s books and toys"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5742,"{tv,wifi,""free parking on premises"",breakfast,""free street parking"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,""bbq grill"",""patio or balcony"",""garden or backyard""}"
5743,"{tv,wifi,""air conditioning"",""free parking on premises"",heating,washer,dryer,essentials,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
5744,"{tv,wifi,kitchen,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""private living room""}"
5745,"{wifi,kitchen,""free parking on premises"",""smoking allowed"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",""luggage dropoff allowed"",""long term stays allowed""}"
5746,"{tv,wifi,kitchen,""pets allowed"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""private living room""}"
5747,"{tv,wifi,pool,kitchen,""free parking on premises"",gym,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,""hair dryer"",""private entrance""}"
5748,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""pets allowed"",gym,elevator,heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""self check-in"",lockbox,""private entrance"",bathtub,""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,oven,""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""paid parking on premises""}"
5749,"{tv,wifi,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""single level home"",""cleaning before checkout""}"
5750,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
5751,"{tv,wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""single level home"",""long term stays allowed"",""cleaning before checkout""}"
5752,"{tv,wifi,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",bathtub,""children’s books and toys"",""babysitter recommendations"",""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""no stairs or steps to enter"",""no stairs or steps to enter""}"
5753,"{wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
5754,"{wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,""smoke alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""shower gel""}"
5755,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""host greets you""}"
5756,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""outlet covers"",""hot water"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""garden or backyard"",""long term stays allowed"",""cleaning before checkout"",""shower gel"",""trash can""}"
5757,"{tv,wifi,pool,""free parking on premises"",""free street parking"",""hot tub"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""laptop-friendly workspace"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,oven,""ev charger"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
5758,"{tv,wifi,pool,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""babysitter recommendations"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
5759,"{tv,""cable tv"",wifi,kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5760,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",crib,""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""garden or backyard""}"
5761,"{wifi,kitchen,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",microwave,""dishes and silverware"",""cooking basics"",""garden or backyard""}"
5762,"{tv,wifi,""air conditioning"",""free street parking"",""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,""dishes and silverware"",""bbq grill"",""patio or balcony"",""garden or backyard"",""shower gel"",""trash can""}"
5763,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""private living room"",""private entrance"",bathtub,""fireplace guards"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""trash can""}"
5764,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",heating,washer,dryer,essentials,shampoo,hangers,""hair dryer"",iron,""private living room"",""private entrance"",""bed linens"",""extra pillows and blankets""}"
5765,"{tv,wifi,pool,kitchen,""free parking on premises"",""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
5766,"{wifi,kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water""}"
5767,"{tv,wifi,kitchen,""free parking on premises"",breakfast,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance""}"
5768,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",bathtub,""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""shower gel"",""baking sheet"",""trash can""}"
5769,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private living room"",""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""shower gel"",""baking sheet"",""trash can""}"
5770,"{tv,wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove}"
5771,"{tv,wifi,""air conditioning"",kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""garden or backyard""}"
5772,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",stove,""patio or balcony"",""garden or backyard"",""long term stays allowed"",""shower gel""}"
5773,"{tv,wifi,""air conditioning"",kitchen,""pets allowed"",breakfast,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",""lock on bedroom door"",hangers}"
5774,"{tv,internet,wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""bread maker""}"
